날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 11월 16일,"60,089.10","63,605.10","63,605.60","58,655.90",115.36K,-5.52%
2021년 11월 15일,"63,597.90","65,514.90","66,311.20","63,439.50",53.53K,-2.92%
2021년 11월 14일,"65,508.20","64,397.20","65,508.20","63,608.30",33.98K,1.72%
2021년 11월 13일,"64,398.60","64,133.30","64,906.00","63,381.40",30.34K,0.41%
2021년 11월 12일,"64,134.50","64,782.60","65,449.70","62,309.70",63.27K,-1.04%
2021년 11월 11일,"64,806.70","64,922.80","65,583.30","64,121.90",50.37K,-0.19%
2021년 11월 10일,"64,932.60","66,942.60","68,990.60","62,951.30",96.21K,-2.95%
2021년 11월 09일,"66,904.40","67,528.70","68,493.30","66,334.90",66.13K,-0.92%
2021년 11월 08일,"67,527.90","63,276.40","67,763.30","63,276.40",81.08K,6.72%
2021년 11월 07일,"63,273.20","61,483.80","63,273.20","61,347.20",34.34K,2.91%
2021년 11월 06일,"61,483.90","60,973.20","61,543.20","60,093.60",34.89K,0.84%
2021년 11월 05일,"60,974.30","61,411.50","62,560.30","60,742.40",44.46K,-0.71%
2021년 11월 04일,"61,412.60","62,915.40","63,077.60","60,742.90",49.91K,-2.39%
2021년 11월 03일,"62,918.50","63,223.50","63,508.60","60,883.00",61.05K,-0.48%
2021년 11월 02일,"63,221.70","60,912.20","64,256.40","60,651.50",65.26K,3.79%
2021년 11월 01일,"60,915.30","61,310.10","62,430.10","59,612.70",61.21K,-0.64%
2021년 10월 31일,"61,309.60","61,842.20","62,393.70","60,005.70",50.06K,-0.86%
2021년 10월 30일,"61,840.10","62,245.00","62,338.50","60,786.00",40.51K,-0.65%
2021년 10월 29일,"62,242.80","60,579.90","62,952.20","60,322.20",63.39K,2.74%
2021년 10월 28일,"60,582.50","58,437.20","62,251.30","58,128.10",88.47K,3.67%
2021년 10월 27일,"58,438.10","60,312.50","61,452.90","58,112.60",88.11K,-3.11%
2021년 10월 26일,"60,310.80","63,067.50","63,275.10","59,907.30",57.13K,-4.37%
2021년 10월 25일,"63,067.00","60,864.30","63,694.80","60,655.80",51.06K,3.62%
2021년 10월 24일,"60,866.50","61,308.20","61,469.90","59,523.70",42.67K,-0.73%
2021년 10월 23일,"61,312.50","60,693.20","61,728.70","59,738.30",37.05K,1.03%
2021년 10월 22일,"60,690.30","62,200.80","63,699.70","60,055.70",75.69K,-2.44%
2021년 10월 21일,"62,210.20","66,004.60","66,616.90","62,092.10",105.38K,-5.71%
2021년 10월 20일,"65,979.10","64,276.90","66,967.10","63,543.70",79.87K,2.65%
2021년 10월 19일,"64,278.50","62,030.20","64,454.00","61,451.00",80.16K,3.58%
2021년 10월 18일,"62,056.30","61,525.80","62,623.60","60,026.90",80.15K,0.86%
2021년 10월 17일,"61,527.50","60,865.50","61,651.40","59,143.40",53.39K,1.09%
2021년 10월 16일,"60,861.10","61,669.20","62,329.20","60,161.90",49.93K,-1.32%
2021년 10월 15일,"61,672.50","57,348.20","62,892.80","56,874.80",121.48K,7.54%
2021년 10월 14일,"57,345.80","57,370.40","58,506.50","56,866.80",59.84K,-0.06%
2021년 10월 13일,"57,380.10","56,014.50","57,697.40","54,314.40",73.62K,2.44%
2021년 10월 12일,"56,015.90","57,480.60","57,635.70","54,155.40",74.85K,-2.54%
2021년 10월 11일,"57,477.30","54,686.90","57,814.10","54,457.80",73.84K,5.10%
2021년 10월 10일,"54,687.70","54,942.50","56,432.20","54,100.80",104.43K,-0.46%
2021년 10월 09일,"54,942.50","53,924.10","55,430.80","53,711.70",64.65K,1.91%
2021년 10월 08일,"53,914.70","53,785.50","55,977.90","53,659.30",64.05K,0.24%
2021년 10월 07일,"53,783.90","55,325.20","55,325.60","53,476.40",75.68K,-2.78%
2021년 10월 06일,"55,323.20","51,470.00","55,676.10","50,439.50",116.26K,7.49%
2021년 10월 05일,"51,469.30","49,229.50","51,872.40","49,060.10",76.63K,4.55%
2021년 10월 04일,"49,227.30","48,200.40","49,481.70","46,958.60",66.92K,2.13%
2021년 10월 03일,"48,200.10","47,665.40","49,165.20","47,123.00",42.41K,1.12%
2021년 10월 02일,"47,666.90","48,147.20","48,306.90","47,451.70",39.82K,-1.00%
2021년 10월 01일,"48,146.00","43,824.40","48,435.20","43,292.90",94.66K,9.86%
2021년 09월 30일,"43,823.30","41,534.50","44,101.20","41,416.70",64.32K,5.50%
2021년 09월 29일,"41,536.80","41,023.10","42,571.20","40,815.00",48.21K,1.25%
2021년 09월 28일,"41,022.30","42,169.90","42,758.80","40,906.40",60.01K,-2.73%
2021년 09월 27일,"42,172.60","43,200.90","44,293.20","42,143.90",54.12K,-2.39%
2021년 09월 26일,"43,203.40","42,685.80","43,907.30","40,786.60",69.91K,1.21%
2021년 09월 25일,"42,686.80","42,818.70","42,959.30","41,714.50",46.35K,-0.31%
2021년 09월 24일,"42,819.90","44,867.40","45,112.00","40,908.50",128.88K,-4.57%
2021년 09월 23일,"44,869.20","43,550.70","44,949.80","43,090.10",74.54K,3.03%
2021년 09월 22일,"43,551.60","40,660.80","43,976.70","40,585.70",93.98K,7.13%
2021년 09월 21일,"40,651.30","43,012.30","43,619.30","39,646.80",142.55K,-5.18%
2021년 09월 20일,"42,870.60","47,240.80","47,323.90","42,547.10",77.96K,-9.25%
2021년 09월 19일,"47,238.70","48,299.90","48,341.90","46,866.60",41.98K,-2.21%
2021년 09월 18일,"48,306.70","47,283.90","48,761.00","47,070.50",43.64K,2.17%
2021년 09월 17일,"47,282.80","47,748.20","48,155.90","46,788.80",50.16K,-0.97%
2021년 09월 16일,"47,748.00","48,132.30","48,480.60","47,040.30",60.91K,-0.80%
2021년 09월 15일,"48,130.60","47,070.80","48,436.50","46,743.90",63.40K,2.24%
2021년 09월 14일,"47,077.50","44,950.20","47,247.60","44,718.70",65.33K,4.73%
2021년 09월 13일,"44,949.50","46,060.80","46,807.70","43,463.20",96.15K,-2.42%
2021년 09월 12일,"46,062.30","45,162.60","46,386.40","44,755.20",44.52K,1.99%
2021년 09월 11일,"45,161.90","44,844.90","45,975.60","44,766.60",41.58K,0.71%
2021년 09월 10일,"44,842.80","46,385.90","47,021.60","44,283.60",75.62K,-3.33%
2021년 09월 09일,"46,385.60","46,057.60","47,305.70","45,609.00",73.63K,0.70%
2021년 09월 08일,"46,061.40","46,774.10","47,316.90","44,493.70",100.48K,-1.54%
2021년 09월 07일,"46,779.60","52,674.20","52,885.30","43,072.40",187.56K,-11.19%
2021년 09월 06일,"52,672.10","51,769.40","52,726.20","51,002.80",69.46K,1.75%
2021년 09월 05일,"51,768.60","49,918.70","51,878.20","49,492.40",57.30K,3.71%
2021년 09월 04일,"49,918.40","49,999.30","50,534.60","49,461.40",48.14K,-0.16%
2021년 09월 03일,"49,999.00","49,269.50","51,008.80","48,377.30",88.08K,1.47%
2021년 09월 02일,"49,274.30","48,817.80","50,355.30","48,612.90",80.21K,0.93%
2021년 09월 01일,"48,819.40","47,129.20","49,121.00","46,533.10",74.38K,3.58%
2021년 08월 31일,"47,130.40","46,989.10","48,217.00","46,709.30",71.48K,0.29%
2021년 08월 30일,"46,992.70","48,777.10","48,886.00","46,876.90",61.68K,-3.66%
2021년 08월 29일,"48,777.40","48,899.70","49,621.70","47,870.10",47.62K,-0.24%
2021년 08월 28일,"48,897.10","49,062.80","49,289.40","48,428.50",36.73K,-0.34%
2021년 08월 27일,"49,064.30","46,830.20","49,142.00","46,371.50",62.47K,4.77%
2021년 08월 26일,"46,831.60","48,994.40","49,347.80","46,360.40",73.79K,-4.41%
2021년 08월 25일,"48,994.50","47,707.40","49,230.20","47,163.30",63.54K,2.68%
2021년 08월 24일,"47,714.70","49,532.50","49,847.40","47,623.60",74.26K,-3.68%
2021년 08월 23일,"49,539.70","49,255.40","50,498.80","49,038.60",75.37K,0.58%
2021년 08월 22일,"49,254.50","48,870.40","49,480.30","48,151.00",49.32K,0.77%
2021년 08월 21일,"48,875.80","49,330.00","49,719.10","48,293.50",18.20K,-0.91%
2021년 08월 20일,"49,324.00","46,756.70","49,343.30","46,646.80",83.19K,5.49%
2021년 08월 19일,"46,755.90","44,725.90","47,012.30","43,986.70",77.92K,4.54%
2021년 08월 18일,"44,723.80","44,691.10","46,004.90","44,230.00",22.36K,0.07%
2021년 08월 17일,"44,691.60","45,907.50","47,140.60","44,441.30",84.14K,-2.84%
2021년 08월 16일,"45,996.30","46,991.60","48,002.40","45,672.10",2.41K,-2.12%
2021년 08월 15일,"46,991.30","47,082.60","47,344.10","45,564.10",58.11K,-0.19%
2021년 08월 14일,"47,081.50","47,809.60","48,090.90","46,117.20",64.29K,-1.52%
2021년 08월 13일,"47,809.10","44,404.00","47,836.00","44,242.40",75.27K,7.67%
2021년 08월 12일,"44,403.40","45,562.30","46,213.80","43,814.70",81.07K,-2.55%
2021년 08월 11일,"45,564.30","45,593.20","46,736.50","45,367.90",75.43K,-0.06%
2021년 08월 10일,"45,593.80","46,281.80","46,663.40","44,681.20",80.55K,-1.49%
2021년 08월 09일,"46,284.30","43,794.90","46,460.70","42,824.10",117.08K,5.69%
2021년 08월 08일,"43,792.80","44,584.90","45,284.10","43,314.40",105.25K,-1.84%
2021년 08월 07일,"44,614.20","42,784.70","44,697.30","42,611.00",112.84K,4.25%
2021년 08월 06일,"42,795.40","40,868.40","43,253.40","39,905.40",111.93K,4.72%
2021년 08월 05일,"40,867.20","39,734.40","41,366.30","37,365.40",130.60K,2.84%
2021년 08월 04일,"39,736.90","38,188.40","39,956.50","37,556.00",79.22K,4.21%
2021년 08월 03일,"38,130.30","39,167.40","39,766.60","37,688.20",0.26K,-2.65%
2021년 08월 02일,"39,168.40","39,869.80","40,449.00","38,692.50",74.81K,-1.78%
2021년 08월 01일,"39,878.30","41,510.00","42,565.00","39,556.50",80.33K,-4.03%
2021년 07월 31일,"41,553.70","42,201.40","42,285.30","41,066.40",44.65K,-1.54%
2021년 07월 30일,"42,203.40","40,001.10","42,264.40","38,358.40",98.45K,5.50%
2021년 07월 29일,"40,001.40","40,009.00","40,630.70","39,340.80",75.30K,0.00%
2021년 07월 28일,"40,003.20","39,450.40","40,862.20","38,883.80",148.92K,1.40%
2021년 07월 27일,"39,452.00","37,294.30","39,455.90","36,427.40",100.24K,5.84%
2021년 07월 26일,"37,276.60","35,392.30","40,522.90","35,236.70",177.63K,5.33%
2021년 07월 25일,"35,391.10","34,392.50","35,391.10","33,881.30",65.10K,4.63%
2021년 07월 24일,"33,824.80","33,600.50","33,955.00","33,412.90",67.14K,0.66%
2021년 07월 23일,"33,603.30","32,297.90","33,605.60","32,041.10",66.15K,4.04%
2021년 07월 22일,"32,298.90","32,131.70","32,585.40","31,729.40",64.87K,0.52%
2021년 07월 21일,"32,131.40","29,794.70","32,794.60","29,519.30",118.34K,7.85%
2021년 07월 20일,"29,793.80","30,835.40","31,040.80","29,310.20",97.46K,-3.38%
2021년 07월 19일,"30,837.20","31,782.90","31,887.00","30,478.20",77.48K,-2.98%
2021년 07월 18일,"31,785.40","31,517.90","32,408.20","31,220.60",57.01K,0.85%
2021년 07월 17일,"31,518.60","31,384.40","31,914.80","31,207.80",58.06K,0.40%
2021년 07월 16일,"31,394.00","31,842.30","32,239.80","31,062.20",70.48K,-1.40%
2021년 07월 15일,"31,840.50","32,820.50","33,157.00","31,175.80",76.95K,-2.99%
2021년 07월 14일,"32,820.70","32,727.80","33,051.90","31,611.20",69.56K,0.28%
2021년 07월 13일,"32,728.10","33,106.10","33,307.70","32,259.50",60.04K,-1.16%
2021년 07월 12일,"33,113.00","34,228.30","34,598.00","32,662.80",63.24K,-3.26%
2021년 07월 11일,"34,227.70","33,510.80","34,580.60","33,319.80",35.72K,2.14%
2021년 07월 10일,"33,510.60","33,797.70","34,221.00","33,056.80",50.94K,-0.85%
2021년 07월 09일,"33,797.40","32,866.30","34,079.20","32,367.00",67.14K,2.83%
2021년 07월 08일,"32,866.30","33,859.40","33,923.20","32,146.90",108.09K,-2.96%
2021년 07월 07일,"33,867.80","34,228.70","35,036.60","33,801.30",72.03K,-1.05%
2021년 07월 06일,"34,225.60","33,688.50","35,062.00","33,581.70",83.63K,1.60%
2021년 07월 05일,"33,687.80","35,297.00","35,300.50","33,164.10",88.36K,-4.56%
2021년 07월 04일,"35,298.20","34,742.80","35,957.60","34,740.10",56.13K,1.60%
2021년 07월 03일,"34,742.80","33,814.20","34,909.80","33,363.30",55.69K,2.75%
2021년 07월 02일,"33,813.40","33,542.20","33,925.90","32,734.60",78.93K,0.80%
2021년 07월 01일,"33,543.60","35,030.70","35,032.70","32,839.20",27.41K,-4.23%
2021년 06월 30일,"35,026.90","35,832.60","36,089.50","34,126.60",107.07K,-2.25%
2021년 06월 29일,"35,834.70","34,477.30","36,590.30","34,247.60",97.27K,3.94%
2021년 06월 28일,"34,475.90","34,682.20","35,231.20","33,944.90",112.00K,-0.58%
2021년 06월 27일,"34,678.50","32,247.10","34,685.50","32,041.70",148.80K,7.55%
2021년 06월 26일,"32,243.40","31,592.10","32,643.00","30,206.90",156.67K,2.06%
2021년 06월 25일,"31,594.00","34,660.50","35,490.90","31,337.90",193.43K,-8.86%
2021년 06월 24일,"34,665.80","33,678.10","35,249.90","32,356.70",119.25K,2.94%
2021년 06월 23일,"33,674.30","32,498.30","34,784.30","31,736.50",173.34K,3.62%
2021년 06월 22일,"32,496.40","31,682.70","33,272.50","28,901.80",309.65K,2.54%
2021년 06월 21일,"31,692.00","35,597.90","35,708.40","31,284.10",256.87K,-10.97%
2021년 06월 20일,"35,595.80","35,510.90","36,097.90","33,378.00",137.48K,0.23%
2021년 06월 19일,"35,513.40","35,770.00","36,357.30","34,845.50",105.46K,-0.66%
2021년 06월 18일,"35,749.40","38,045.50","38,166.00","35,198.50",102.84K,-6.05%
2021년 06월 17일,"38,052.00","38,337.80","39,529.90","37,425.30",109.58K,-0.74%
2021년 06월 16일,"38,336.00","40,148.10","40,494.40","38,156.40",123.52K,-4.53%
2021년 06월 15일,"40,156.10","40,522.50","41,318.00","39,589.90",117.55K,-0.92%
2021년 06월 14일,"40,529.40","39,024.10","40,970.40","38,769.90",157.35K,3.86%
2021년 06월 13일,"39,022.90","35,467.50","39,321.60","34,827.00",123.32K,10.02%
2021년 06월 12일,"35,467.50","37,334.40","37,437.30","34,703.30",87.73K,-4.95%
2021년 06월 11일,"37,314.60","36,654.30","37,641.10","36,003.30",109.15K,1.81%
2021년 06월 10일,"36,649.40","37,375.20","38,340.80","35,824.00",154.32K,-1.83%
2021년 06월 09일,"37,332.20","33,385.50","37,517.60","32,428.60",209.82K,11.83%
2021년 06월 08일,"33,382.90","33,574.60","34,047.80","31,158.10",193.54K,-0.58%
2021년 06월 07일,"33,578.00","35,815.40","36,754.60","33,410.10",119.50K,-6.25%
2021년 06월 06일,"35,815.40","35,518.70","36,434.00","35,265.30",62.20K,0.83%
2021년 06월 05일,"35,520.00","36,841.20","37,887.60","34,832.00",101.48K,-3.61%
2021년 06월 04일,"36,851.30","39,191.40","39,255.40","35,659.90",127.71K,-5.96%
2021년 06월 03일,"39,187.30","37,555.70","39,462.30","37,193.60",106.44K,4.34%
2021년 06월 02일,"37,555.80","36,687.70","38,199.90","35,981.10",96.89K,2.37%
2021년 06월 01일,"36,687.60","37,294.30","37,850.30","35,742.70",113.48K,-1.64%
2021년 05월 31일,"37,298.60","35,644.00","37,480.70","34,213.20",131.70K,4.62%
2021년 05월 30일,"35,652.80","34,589.30","36,388.60","33,441.00",104.18K,3.09%
2021년 05월 29일,"34,584.60","35,664.50","37,227.10","33,664.20",160.43K,-3.02%
2021년 05월 28일,"35,662.50","38,543.20","38,844.10","34,772.40",199.58K,-7.17%
2021년 05월 27일,"38,417.30","39,249.00","40,322.20","37,190.80",122.93K,-2.12%
2021년 05월 26일,"39,249.20","38,375.70","40,750.00","37,847.00",153.80K,2.27%
2021년 05월 25일,"38,378.30","38,753.60","39,740.80","36,540.70",163.01K,-0.96%
2021년 05월 24일,"38,750.60","34,720.30","39,851.70","34,474.60",244.88K,11.74%
2021년 05월 23일,"34,679.70","37,446.80","38,248.70","31,192.40",325.73K,-7.39%
2021년 05월 22일,"37,448.30","37,291.00","38,776.00","35,314.90",185.83K,0.40%
2021년 05월 21일,"37,297.40","40,611.20","42,108.30","33,592.30",315.50K,-8.40%
2021년 05월 20일,"40,717.20","36,706.80","42,425.90","35,010.40",269.75K,10.88%
2021년 05월 19일,"36,720.50","42,898.30","43,516.60","30,261.70",607.10K,-14.40%
2021년 05월 18일,"42,897.30","43,538.50","45,770.90","42,293.90",154.96K,-1.48%
2021년 05월 17일,"43,541.30","46,424.20","46,545.40","42,201.50",274.76K,-6.21%
2021년 05월 16일,"46,426.40","46,729.30","49,764.30","43,920.80",180.07K,-0.60%
2021년 05월 15일,"46,708.80","49,839.10","50,640.90","46,650.20",131.91K,-6.28%
2021년 05월 14일,"49,839.80","49,704.90","51,459.20","48,874.00",118.84K,0.27%
2021년 05월 13일,"49,704.60","49,398.20","51,337.30","46,331.10",236.71K,0.65%
2021년 05월 12일,"49,384.20","56,694.50","57,938.50","49,187.00",160.74K,-12.90%
2021년 05월 11일,"56,695.70","55,846.10","56,871.10","54,550.40",96.47K,1.52%
2021년 05월 10일,"55,848.90","58,251.20","59,523.90","53,678.30",142.61K,-4.10%
2021년 05월 09일,"58,238.30","58,840.60","59,227.00","56,414.40",103.59K,-1.02%
2021년 05월 08일,"58,840.10","57,330.30","59,471.10","56,972.20",101.27K,2.62%
2021년 05월 07일,"57,337.20","56,411.40","58,639.30","55,300.10",110.01K,1.65%
2021년 05월 06일,"56,405.40","57,441.00","58,364.90","55,294.50",109.02K,-1.80%
2021년 05월 05일,"57,441.30","53,872.50","57,936.40","53,872.50",119.82K,6.88%
2021년 05월 04일,"53,741.50","57,170.60","57,201.30","53,741.50",132.33K,-6.00%
2021년 05월 03일,"57,169.80","56,605.80","58,925.10","56,562.40",89.24K,1.00%
2021년 05월 02일,"56,603.80","57,807.20","57,868.40","56,110.50",53.61K,-2.08%
2021년 05월 01일,"57,807.10","57,719.10","58,449.40","57,029.50",63.41K,0.15%
2021년 04월 30일,"57,720.30","53,562.30","57,925.60","53,088.70",103.74K,7.77%
2021년 04월 29일,"53,560.80","54,838.60","55,173.70","52,400.00",83.90K,-2.34%
2021년 04월 28일,"54,841.40","55,036.00","56,419.90","53,876.40",86.96K,-0.35%
2021년 04월 27일,"55,036.50","54,011.10","55,427.80","53,345.00",84.08K,1.88%
2021년 04월 26일,"54,020.50","48,963.50","54,320.90","48,815.90",129.76K,10.33%
2021년 04월 25일,"48,963.60","50,088.20","50,532.40","47,098.50",59.20K,-2.25%
2021년 04월 24일,"50,088.90","51,140.80","51,183.00","48,775.20",82.25K,-2.06%
2021년 04월 23일,"51,143.60","51,707.10","52,099.90","47,659.40",214.46K,-1.13%
2021년 04월 22일,"51,729.50","53,821.30","55,408.40","50,590.90",168.13K,-3.88%
2021년 04월 21일,"53,820.20","56,479.50","56,764.40","53,657.60",100.26K,-4.71%
2021년 04월 20일,"56,483.20","55,645.10","57,054.90","53,422.50",115.49K,1.50%
2021년 04월 19일,"55,646.10","56,208.10","57,517.00","54,272.30",117.51K,-1.00%
2021년 04월 18일,"56,207.10","60,043.20","60,362.10","51,817.60",216.81K,-6.39%
2021년 04월 17일,"60,041.90","61,358.30","62,509.10","59,672.10",84.08K,-2.18%
2021년 04월 16일,"61,379.70","63,211.60","63,518.50","60,027.30",136.85K,-2.90%
2021년 04월 15일,"63,216.00","62,978.60","63,729.10","62,067.50",76.97K,0.37%
2021년 04월 14일,"62,980.40","63,544.20","64,778.00","61,366.30",130.43K,-0.88%
2021년 04월 13일,"63,540.90","59,863.60","63,659.00","59,839.40",126.56K,6.14%
2021년 04월 12일,"59,863.80","59,982.10","61,259.90","59,569.20",81.88K,-0.19%
2021년 04월 11일,"59,978.70","59,772.40","60,667.10","59,250.30",58.20K,0.39%
2021년 04월 10일,"59,748.40","58,127.40","61,229.00","57,900.00",103.72K,2.80%
2021년 04월 09일,"58,118.70","58,076.80","58,890.90","57,686.00",59.22K,0.07%
2021년 04월 08일,"58,077.40","55,948.00","58,136.70","55,721.60",64.78K,3.80%
2021년 04월 07일,"55,948.70","57,996.30","58,627.70","55,489.30",110.69K,-3.53%
2021년 04월 06일,"57,996.30","59,169.00","59,487.00","57,403.30",77.15K,-1.69%
2021년 04월 05일,"58,993.40","58,202.30","59,205.10","56,842.70",54.13K,1.36%
2021년 04월 04일,"58,199.90","57,059.70","58,464.80","56,470.60",57.21K,2.00%
2021년 04월 03일,"57,059.90","58,976.80","59,770.50","56,906.70",68.74K,-3.25%
2021년 04월 02일,"58,977.30","58,718.20","60,134.90","58,466.50",72.37K,0.44%
2021년 04월 01일,"58,718.30","58,763.20","59,406.50","58,040.70",69.04K,-0.08%
2021년 03월 31일,"58,763.70","58,771.40","59,795.60","56,991.60",98.06K,-0.01%
2021년 03월 30일,"58,771.30","57,614.60","59,366.90","57,077.10",86.21K,2.00%
2021년 03월 29일,"57,616.20","55,764.70","58,392.60","54,951.10",107.91K,3.32%
2021년 03월 28일,"55,765.20","55,856.90","56,504.20","54,711.30",58.71K,-0.17%
2021년 03월 27일,"55,862.90","55,033.80","56,531.10","54,010.20",73.87K,1.50%
2021년 03월 26일,"55,036.10","51,317.40","55,074.10","51,302.00",100.30K,7.24%
2021년 03월 25일,"51,322.30","52,330.00","53,175.40","50,441.30",143.35K,-1.92%
2021년 03월 24일,"52,325.40","54,309.10","57,169.40","51,725.40",137.91K,-3.91%
2021년 03월 23일,"54,452.50","54,117.50","55,813.80","52,992.30",84.84K,0.54%
2021년 03월 22일,"54,158.30","57,379.30","58,379.90","53,784.20",95.53K,-5.62%
2021년 03월 21일,"57,383.80","58,097.40","58,583.80","55,583.30",77.47K,-1.22%
2021년 03월 20일,"58,093.40","58,084.10","59,882.10","57,863.00",67.83K,0.01%
2021년 03월 19일,"58,088.00","57,645.00","59,448.30","56,305.10",83.98K,0.75%
2021년 03월 18일,"57,656.00","58,911.80","60,088.00","57,099.60",102.62K,-2.13%
2021년 03월 17일,"58,913.50","56,892.90","58,933.20","54,253.20",118.26K,3.56%
2021년 03월 16일,"56,889.70","55,619.50","56,889.70","53,342.60",128.51K,1.97%
2021년 03월 15일,"55,791.30","59,117.40","60,565.90","55,088.80",117.71K,-5.62%
2021년 03월 14일,"59,113.70","61,192.70","61,673.70","59,113.70",80.29K,-3.40%
2021년 03월 13일,"61,195.30","57,267.40","61,795.80","56,118.80",134.64K,6.86%
2021년 03월 12일,"57,265.10","57,806.20","58,052.30","55,134.50",116.96K,-0.92%
2021년 03월 11일,"57,799.50","55,851.20","58,135.00","54,351.80",129.63K,3.49%
2021년 03월 10일,"55,851.90","54,882.70","57,328.70","53,073.60",140.96K,1.77%
2021년 03월 09일,"54,879.00","52,352.40","54,880.60","51,941.30",114.06K,4.91%
2021년 03월 08일,"52,311.00","50,988.90","52,384.90","49,338.10",68.14K,2.61%
2021년 03월 07일,"50,982.30","48,899.00","51,434.10","48,890.60",82.91K,4.35%
2021년 03월 06일,"48,855.60","48,798.70","49,191.80","47,132.80",66.66K,0.13%
2021년 03월 05일,"48,792.50","48,363.60","49,429.40","46,370.10",113.64K,0.75%
2021년 03월 04일,"48,428.00","50,388.00","51,757.70","47,521.80",9.56K,-3.90%
2021년 03월 03일,"50,395.10","48,422.20","52,567.90","48,159.20",44.93K,4.07%
2021년 03월 02일,"48,424.20","49,595.60","50,191.90","47,100.60",102.10K,-2.36%
2021년 03월 01일,"49,595.50","45,160.50","49,774.00","45,008.80",137.52K,9.81%
2021년 02월 28일,"45,164.00","46,136.00","46,582.00","43,100.60",135.08K,-2.11%
2021년 02월 27일,"46,136.70","46,333.10","48,335.10","45,059.40",98.75K,-0.45%
2021년 02월 26일,"46,345.60","46,928.50","48,413.90","44,248.20",189.41K,-1.24%
2021년 02월 25일,"46,928.50","49,695.90","52,013.80","46,773.70",83.22K,-5.57%
2021년 02월 24일,"49,697.50","48,911.10","51,311.80","47,031.70",153.75K,1.61%
2021년 02월 23일,"48,911.20","54,114.10","54,115.00","45,093.80",315.07K,-9.61%
2021년 02월 22일,"54,111.80","57,437.60","57,480.80","48,353.80",244.95K,-5.78%
2021년 02월 21일,"57,433.80","55,907.60","58,335.10","55,502.70",87.26K,2.70%
2021년 02월 20일,"55,923.70","55,922.00","57,523.80","54,124.10",127.85K,0.03%
2021년 02월 19일,"55,906.60","51,590.10","56,238.50","50,816.80",139.43K,8.38%
2021년 02월 18일,"51,582.20","52,094.50","52,524.00","50,941.60",94.35K,-0.95%
2021년 02월 17일,"52,079.20","49,161.30","52,577.70","49,018.10",140.03K,5.92%
2021년 02월 16일,"49,169.70","47,934.20","50,515.80","47,044.40",141.37K,2.57%
2021년 02월 15일,"47,936.30","48,611.10","48,936.50","45,786.10",123.18K,-1.45%
2021년 02월 14일,"48,643.40","47,172.10","49,695.10","47,051.90",106.50K,3.13%
2021년 02월 13일,"47,168.70","47,373.10","48,097.30","46,270.50",89.42K,-0.43%
2021년 02월 12일,"47,371.70","47,995.00","48,927.40","46,218.60",133.73K,-1.29%
2021년 02월 11일,"47,990.70","44,834.80","48,622.10","44,041.10",145.77K,7.04%
2021년 02월 10일,"44,836.00","46,507.80","47,295.30","43,800.50",151.83K,-3.60%
2021년 02월 09일,"46,508.60","46,396.40","48,143.50","45,104.70",193.87K,0.24%
2021년 02월 08일,"46,395.70","38,853.60","46,596.40","38,057.00",248.47K,19.41%
2021년 02월 07일,"38,852.90","39,228.90","39,691.70","37,381.60",125.37K,-1.03%
2021년 02월 06일,"39,256.60","38,300.60","40,939.70","38,275.30",156.02K,2.50%
2021년 02월 05일,"38,297.60","36,976.40","38,303.60","36,640.00",100.60K,3.56%
2021년 02월 04일,"36,982.10","37,648.90","38,707.90","36,380.80",151.44K,-1.77%
2021년 02월 03일,"37,646.80","35,486.90","37,646.80","35,401.50",131.03K,6.09%
2021년 02월 02일,"35,485.20","33,514.00","35,976.10","33,462.40",120.85K,5.88%
2021년 02월 01일,"33,515.70","33,106.80","34,685.60","32,324.90",126.32K,1.23%
2021년 01월 31일,"33,108.10","34,281.60","34,348.30","32,189.90",101.92K,-3.43%
2021년 01월 30일,"34,283.10","34,300.00","34,920.90","32,908.50",128.57K,-0.05%
2021년 01월 29일,"34,301.80","33,381.70","38,546.00","31,953.30",297.73K,2.78%
2021년 01월 28일,"33,374.80","30,408.90","33,790.80","29,911.90",167.39K,9.77%
2021년 01월 27일,"30,404.00","32,499.60","32,545.40","29,290.40",194.35K,-6.46%
2021년 01월 26일,"32,502.10","32,244.10","32,917.70","30,850.00",139.84K,0.77%
2021년 01월 25일,"32,252.30","32,244.30","34,854.30","31,967.40",142.43K,0.03%
2021년 01월 24일,"32,241.30","32,088.50","33,034.80","30,982.90",88.21K,0.47%
2021년 01월 23일,"32,088.90","32,994.10","33,441.40","31,418.20",100.70K,-2.76%
2021년 01월 22일,"33,000.50","30,838.70","33,821.20","28,871.20",243.09K,7.00%
2021년 01월 21일,"30,842.10","35,472.30","35,591.10","30,101.80",253.27K,-13.06%
2021년 01월 20일,"35,476.30","35,862.10","36,384.40","33,444.50",153.61K,-1.46%
2021년 01월 19일,"36,002.90","36,630.60","37,821.00","36,001.40",79.11K,-1.67%
2021년 01월 18일,"36,613.20","35,838.20","37,436.80","34,801.00",111.52K,2.16%
2021년 01월 17일,"35,839.60","36,020.10","36,801.30","33,883.50",126.82K,-0.50%
2021년 01월 16일,"36,019.50","36,751.80","37,931.70","35,408.40",137.02K,-2.24%
2021년 01월 15일,"36,845.80","39,175.70","39,715.00","34,488.70",118.42K,-5.95%
2021년 01월 14일,"39,175.70","37,383.40","40,054.30","36,772.10",172.40K,4.80%
