날짜,종가,오픈,고가,저가,거래량,변동 %
2023년 03월 31일,"28,473.70","28,029.30","28,646.30","27,587.50",98.44K,1.58%
2023년 03월 30일,"28,029.50","28,350.30","29,160.40","27,716.70",122.51K,-1.13%
2023년 03월 29일,"28,350.40","27,262.90","28,627.40","27,249.80",109.32K,3.99%
2023년 03월 28일,"27,262.20","27,127.80","27,465.00","26,665.60",94.16K,0.49%
2023년 03월 27일,"27,129.80","27,974.80","28,023.30","26,611.50",107.24K,-3.02%
2023년 03월 26일,"27,973.50","27,474.90","28,153.70","27,429.10",60.64K,1.81%
2023년 03월 25일,"27,475.60","27,462.20","27,761.90","27,176.70",61.36K,0.05%
2023년 03월 24일,"27,462.20","28,306.90","28,374.50","27,026.50",110.36K,-3.00%
2023년 03월 23일,"28,310.70","27,262.80","28,734.10","27,144.60",158.46K,3.85%
2023년 03월 22일,"27,261.70","28,114.20","28,760.30","26,668.70",262.03K,-3.03%
2023년 03월 21일,"28,114.00","27,719.80","28,437.80","27,350.60",438.78K,1.42%
2023년 03월 20일,"27,720.50","27,958.90","28,457.80","27,157.00",503.90K,-0.85%
2023년 03월 19일,"27,958.70","26,914.50","28,347.30","26,844.60",393.27K,3.88%
2023년 03월 18일,"26,914.50","27,391.90","27,659.10","26,688.70",392.47K,-1.74%
2023년 03월 17일,"27,391.80","25,004.40","27,742.20","24,900.10",674.96K,9.55%
2023년 03월 16일,"25,004.10","24,283.20","25,139.00","24,147.90",462.58K,2.97%
2023년 03월 15일,"24,282.70","24,699.60","25,108.90","23,932.40",614.31K,-1.69%
2023년 03월 14일,"24,699.70","24,121.50","26,365.90","23,994.60",753.06K,2.43%
2023년 03월 13일,"24,114.40","21,994.80","24,406.20","21,859.60",733.63K,9.64%
2023년 03월 12일,"21,994.80","20,465.00","22,028.60","20,294.20",455.69K,7.46%
2023년 03월 11일,"20,467.50","20,156.50","20,669.50","19,796.70",453.46K,1.54%
2023년 03월 10일,"20,156.70","20,362.00","20,362.60","19,591.80",655.27K,-1.01%
2023년 03월 09일,"20,361.80","21,710.80","21,826.50","20,079.60",468.76K,-6.21%
2023년 03월 08일,"21,710.80","22,197.80","22,274.30","21,661.30",316.51K,-2.19%
2023년 03월 07일,"22,197.80","22,410.10","22,535.10","21,968.60",304.75K,-0.95%
2023년 03월 06일,"22,410.00","22,428.20","22,595.40","22,320.10",215.31K,-0.08%
2023년 03월 05일,"22,428.30","22,347.10","22,636.70","22,213.50",160.57K,0.36%
2023년 03월 04일,"22,347.10","22,354.70","22,403.70","22,167.40",123.93K,-0.03%
2023년 03월 03일,"22,354.40","23,465.60","23,473.40","22,051.90",344.63K,-4.73%
2023년 03월 02일,"23,465.40","23,642.20","23,780.50","23,208.70",249.26K,-0.75%
2023년 03월 01일,"23,642.20","23,130.60","23,914.10","23,025.30",328.77K,2.21%
2023년 02월 28일,"23,130.50","23,494.00","23,595.00","23,033.80",275.10K,-1.55%
2023년 02월 27일,"23,494.10","23,558.70","23,876.20","23,166.80",297.65K,-0.27%
2023년 02월 26일,"23,558.70","23,166.10","23,671.80","23,066.00",209.12K,1.69%
2023년 02월 25일,"23,166.10","23,191.30","23,215.30","22,777.40",198.35K,-0.11%
2023년 02월 24일,"23,191.50","23,936.40","24,123.40","22,970.30",367.99K,-3.11%
2023년 02월 23일,"23,936.30","24,186.60","24,590.40","23,637.90",417.46K,-1.03%
2023년 02월 22일,"24,186.60","24,450.70","24,474.30","23,593.40",400.24K,-1.08%
2023년 02월 21일,"24,450.70","24,839.50","25,236.80","24,160.80",395.97K,-1.57%
2023년 02월 20일,"24,839.50","24,302.80","25,085.40","23,868.60",363.02K,2.21%
2023년 02월 19일,"24,302.90","24,631.30","25,175.20","24,273.70",312.64K,-1.33%
2023년 02월 18일,"24,631.40","24,573.50","24,838.90","24,457.00",223.77K,0.24%
2023년 02월 17일,"24,573.50","23,538.20","24,984.70","23,373.00",523.85K,4.39%
2023년 02월 16일,"23,539.60","24,328.10","25,233.80","23,525.90",484.50K,-3.24%
2023년 02월 15일,"24,327.90","22,198.50","24,330.90","22,050.80",401.53K,9.59%
2023년 02월 14일,"22,198.50","21,776.90","22,308.60","21,556.20",378.39K,1.96%
2023년 02월 13일,"21,772.60","21,782.70","21,887.50","21,418.70",312.04K,-0.07%
2023년 02월 12일,"21,786.80","21,859.90","22,080.70","21,653.10",211.65K,-0.33%
2023년 02월 11일,"21,859.80","21,627.40","21,902.90","21,605.30",182.07K,1.04%
2023년 02월 10일,"21,635.00","21,792.50","21,933.60","21,491.70",352.79K,-0.72%
2023년 02월 09일,"21,792.50","22,964.60","23,003.60","21,744.60",425.44K,-5.10%
2023년 02월 08일,"22,964.60","23,251.70","23,425.10","22,691.70",289.12K,-1.23%
2023년 02월 07일,"23,251.70","22,761.80","23,338.80","22,748.20",318.98K,2.15%
2023년 02월 06일,"22,761.80","22,936.00","23,130.60","22,633.70",278.58K,-0.76%
2023년 02월 05일,"22,936.00","23,326.90","23,423.40","22,766.50",217.26K,-1.66%
2023년 02월 04일,"23,323.80","23,431.20","23,571.80","23,269.80",170.27K,-0.46%
2023년 02월 03일,"23,431.20","23,429.10","23,694.10","23,233.80",349.36K,0.02%
2023년 02월 02일,"23,427.60","23,726.20","24,207.20","23,398.10",382.86K,-1.26%
2023년 02월 01일,"23,725.60","23,124.70","23,784.50","22,809.60",333.18K,2.60%
2023년 01월 31일,"23,125.10","22,832.20","23,262.90","22,724.90",289.38K,1.28%
2023년 01월 30일,"22,832.20","23,746.00","23,794.00","22,560.00",339.62K,-3.88%
2023년 01월 29일,"23,753.10","23,023.50","23,952.90","22,973.30",320.86K,3.15%
2023년 01월 28일,"23,027.90","23,074.60","23,182.30","22,889.80",156.96K,-0.20%
2023년 01월 27일,"23,074.60","23,016.00","23,480.30","22,602.90",310.36K,0.25%
2023년 01월 26일,"23,016.00","23,055.20","23,259.50","22,869.00",320.97K,-0.17%
2023년 01월 25일,"23,055.10","22,632.50","23,779.00","22,366.30",388.18K,1.87%
2023년 01월 24일,"22,632.50","22,916.30","23,156.10","22,517.10",334.17K,-1.23%
2023년 01월 23일,"22,915.50","22,709.00","23,161.80","22,527.90",327.85K,0.91%
2023년 01월 22일,"22,707.80","22,775.70","23,068.70","22,323.00",280.64K,-0.30%
2023년 01월 21일,"22,775.70","22,677.50","23,304.50","22,461.10",382.69K,0.43%
2023년 01월 20일,"22,677.20","21,074.90","22,718.50","20,879.30",373.74K,7.57%
2023년 01월 19일,"21,081.20","20,670.60","21,169.40","20,669.70",275.76K,1.99%
2023년 01월 18일,"20,670.60","21,137.10","21,584.10","20,448.30",388.67K,-2.21%
2023년 01월 17일,"21,137.10","21,184.40","21,506.40","20,926.20",310.04K,-0.22%
2023년 01월 16일,"21,184.20","20,880.10","21,416.80","20,698.90",337.46K,1.46%
2023년 01월 15일,"20,879.80","20,956.00","21,032.20","20,585.70",205.80K,-0.37%
2023년 01월 14일,"20,958.20","19,926.90","21,185.60","19,898.60",458.21K,5.17%
