구분,서울
1949,1437670
1955,1568746
1960,2445402
1966,3793280
1970,5525262
1975,6879262
1980,8335616
1985,9625755
1990,10603250
1995,10217177
2000,9853972
2005,9762546
2010,9631482
2015,9643432
2020,9540443
